Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
2013-12-19,26.91835213,27.1978054,26.87626076,27.05409431,66877738,4,3,7,0,6,4,0,26.763434272857143,26.44028817904762,-0.3886995739926924,0.38363636279513724,27.207560904637894,25.673015453457346,27.00104719038936,3.2601749270584883,26.00797097030088,0.163151374966977,21.498869344670624,0.0409105720791619,26.688090711416212,-0.008911273324310432
2013-12-20,27.10589981,27.42644882,27.09842873,27.41275024,130953011,6,8,4,8,4,8,6,26.846444537142855,26.53316624809524,-0.3740779221848385,0.3955834823478959,27.324333212791032,25.74199928339945,27.275515890129785,3.2738468571992345,25.89162752835474,0.16602091658434592,21.56488895464334,0.040489390247016775,26.829764446208817,-0.010065832025470513
2013-12-23,27.59257507,27.79083252,27.52482986,27.77339745,69122119,0,8,8,0,10,3,3,27.007056644285715,26.629270279999997,-0.40302085334809945,0.42567498606860427,27.480620252137204,25.77792030786279,27.607436930043264,3.287408762068259,25.77641983730504,0.16890061335975892,21.631696969351218,0.040060082858303106,26.97014276000779,-0.01120365688723955
2013-12-24,27.77016068,27.77688408,27.59905243,27.69220352,29478078,6,9,0,8,3,4,0,27.188697268571428,26.72409348142857,-0.45237868317730445,0.4559904545590197,27.63607439054661,25.812112572310532,27.66394799001442,3.284371519768773,25.662347158955843,0.1717901221010464,21.699271014674572,0.03962288243802104,27.109179838853645,-0.012324583168213436
2013-12-26,27.74625015,27.8705349,27.61374664,27.83217812,53712576,0,6,4,4,0,7,7,27.346961157142857,26.80893026,-0.4727354035758431,0.5047014386462628,27.818333137292527,25.799527382707474,27.77610141000481,3.289601843401097,25.54940864119604,0.17468909205445024,21.767588766735052,0.039178020509865644,27.246830779840288,-0.01342845448718382
2013-12-27,27.89544106,27.90241432,27.71960068,27.85559082,63023345,6,6,6,0,6,12,0,27.519671031428572,26.880080267619046,-0.5035360404652955,0.5462610253434885,27.972602318306024,25.78755821693207,27.8290943500016,3.2904740234877883,25.437603317426777,0.17759716494023123,21.836627954714416,0.03872572743512553,27.383051602883032,-0.014515122371188684
2013-12-30,27.90390968,27.90789413,27.62196541,27.63292503,49629328,3,3,3,3,4,4,0,27.607591355714284,26.93505278,-0.5401800518548576,0.5558308993615687,28.046714578723137,25.823390981276862,27.69831480333387,3.2821482334484324,25.326930106032357,0.18051397499446367,21.90636636366581,0.03826623226008256,27.51779926206873,-0.015584445822925015
2013-12-31,27.7021656,27.92034721,27.55322456,27.91312408,54519590,0,8,4,3,6,3,6,27.730309894285714,27.007542927142854,-0.5140289574369952,0.5689280192048318,28.145398965552516,25.86968688873319,27.841520987777955,3.2926140516459537,25.21738780989613,0.1834391490171045,21.976781837318125,0.03779976257179894,27.65103165658454,-0.016636290907078903
2014-01-02,27.7823658,27.83940125,27.60303688,27.72408295,73129082,5,5,3,4,3,6,0,27.774785995714286,27.07709176142857,-0.5116197821967248,0.5544849985518717,28.18606175853231,25.968121764324827,27.76322896259265,3.2855651420099177,25.10897511596291,0.18637230642641017,22.047852280872462,0.03732654436215531,27.78270764122227,-0.01767053035512447
2014-01-03,27.77090836,27.81897736,27.52009773,27.52184105,66917888,0,4,2,3,0,5,0,27.738849367142855,27.13845698,-0.517784217369929,0.5307704650687711,28.199997910137544,26.076916049862458,27.60230368753088,3.2779685840996757,25.001690594849176,0.18931305931977252,22.11955566379065,0.03684680189999662,27.912787036455338,-0.018687043188127223
