Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7,MA7,MA21,MACD,20SD,upper_band,lower_band,EMA,logmomentum,absolute of 3 comp,angle of 3 comp,absolute of 6 comp,angle of 6 comp,absolute of 9 comp,angle of 9 comp
47.375,47.66999817,47.32500076,47.64500046,45.59612656,79026400,2018-07-09,18.0,13.0,,9.0,9.0,9.0,4.0,44.62546266857142,44.81116667285714,-2.3617596809383983,0.6910423391188424,46.19325135109482,43.42908199461946,45.31411561381038,3.797647006823982,40.657473266460805,-0.0431923718756084,49.82405738363692,0.0170919726397482,52.61583926511512,0.0166715872905848
47.67750168,47.81999969,47.54499817,47.58750153,45.54111099,63756400,2018-07-10,,,,,,,,44.791230882857135,44.79578672142857,-2.419279259424215,0.6765701249776261,46.14892697138382,43.44264647147332,45.46544586460346,3.796412605164295,40.60027145500886,-0.0439808236519641,49.77859496073947,0.0166040073551214,52.68835981619559,0.0166416125367404
47.125,47.44499969,46.90250015,46.97000122,44.95016098,75326000,2018-07-11,3.0,3.0,3.0,3.0,,12.0,,44.88590458428571,44.75762103857143,-2.4488263309510145,0.6116404593156131,45.980901957202654,43.53434011994021,45.12192260820115,3.783056286923113,40.54262590816184,-0.0447689494700795,49.73133224482488,0.01611110839509,52.75803742070689,0.0166022006296422
47.38249969,47.85250092,47.32749939,47.75749969,45.70378876,72164400,2018-07-12,8.0,8.0,8.0,4.0,12.0,4.0,12.0,45.01749038714286,44.74337968380952,-2.479368320483964,0.6181744892466521,45.979728662302826,43.50703070531622,45.50983337606706,3.800058257759164,40.4845382327773,-0.0455567217911172,49.68226626192035,0.0156133508247665,52.8248163866113,0.016553410930292
47.77000046,47.95999908,47.72499847,47.83250046,45.7755661,50055600,2018-07-13,6.0,6.0,4.0,6.0,5.0,6.0,5.0,45.270753042857145,44.75055694571429,-2.5107504067507023,0.6289795825721501,46.00851611085859,43.49259778056999,45.68698852535568,3.801662591082931,40.42601005372563,-0.0463441129575812,49.63139430471163,0.0151108099845066,52.88864172388172,0.0164953055121372
47.88000107,48.16249847,47.60499954,47.72750092,45.67508698,60172400,2018-07-16,,3.0,4.0,5.0,,6.0,,45.45907592857143,44.75180980142858,-2.570215444347141,0.6577226800072766,46.06725516144313,43.43636444141403,45.67905416178522,3.799416007993792,40.36704301382667,-0.0471310951912368,49.57871393348508,0.0146035614892286,52.94945917023006,0.0164279490654151
47.4375,47.96749878,47.29999924,47.86249924,45.8042717,62138000,2018-07-17,6.0,6.0,5.0,6.0,9.0,5.0,5.0,45.57801601,44.78154464,-2.576292035633841,0.6947354379333506,46.1710155158667,43.3920737641333,45.76253252059507,3.8023034853218034,40.30763877378541,-0.0479176405910081,49.52422297701904,0.0140916812280999,53.00721521656654,0.016351408803773
47.94499969,47.95000076,47.48249817,47.59999847,45.55307007,65573600,2018-07-18,2.0,2.0,6.0,4.0,2.0,4.0,,45.57186508285714,44.80045663761905,-2.592261129882573,0.7114911258566199,46.223438889332286,43.37747438590581,45.622890886865015,3.796681064449279,40.24779901212759,-0.0487037211308601,49.467919533424656,0.0135752453645796,53.06185713217996,0.0162657543732055
47.42250061,48.13750076,47.42250061,47.97000122,45.9071579,81147200,2018-07-19,,6.0,3.0,4.0,3.0,4.0,4.0,45.62415749857144,44.87097803761905,-2.6051639662896093,0.749715206481461,46.37040845058197,43.37154762465613,45.812402228955,3.804597200750637,40.1875254251342,-0.0494893086576611,49.4098019709363,0.013054330336821,53.11333298962566,0.0161710577633368
47.94499969,48.10749817,47.54249954,47.86000061,45.80187225,82704800,2018-07-20,,3.0,4.0,,4.0,3.0,,45.74583053714286,44.92725771952381,-2.614184714514053,0.766327120231478,46.45991195998676,43.394603479060855,45.805382242985,3.8022499298423504,40.12681972677588,-0.0502743748890296,49.34986892865094,0.0125290128584262,53.161591689311344,0.0160673932210684
