Date,Open,High,Low,Close,Volume,Ci1,Ci2,Ci3,Ci4,Ci5,Ci6,Ci7
20130807,36.33714294,36.78142929,35.52285767,35.60142899,16328900,3,3,3,3,4,4,0
20130808,35.98143005,36.27142715,35.49285889,35.77142715,14800100,0,4,2,4,6,2,2
20130809,35.71285629,36.24428558,35.68571472,36.1071434,12322800,3,3,12,6,4,4,4
20130812,35.89714432,36.7142868,35.77428436,36.65714264,17804500,0,12,0,3,3,3,3
20130813,36.95000076,37.45714188,36.18000031,37.02714157,21940800,0,0,0,6,6,0,12
20130814,36.90000153,37.68428421,36.86000061,37.40142822,17399900,0,0,18,18,0,18,18
20130815,37,37.21285629,35.90856934,36.20142746,16629200,0,10,10,0,8,12,0
20130816,36.17285538,37.16428757,35.87571335,36.98143005,21354200,4,4,6,4,6,4,4
20130819,36.8571434,37.6428566,36.82143021,37.11142731,15497300,0,8,4,0,4,6,4
20130820,37.56142807,39.07714462,37.5,39.04142761,30140600,14,14,0,12,12,12,0
20130821,38.98428726,39.23571396,38.2142868,38.62428665,21258300,7,0,6,3,6,0,0
20130822,38.93143082,39.06571579,38.31856918,38.5357132,9961700,6,8,6,8,0,10,10
20130823,38.57857132,39.77000046,38.43143082,39.76571274,22285200,7,12,7,0,8,8,8
20130826,39.44428635,41.41999817,39.14857101,40.38857269,31017700,10,10,0,6,8,6,8
20130827,39.87857056,40.84000015,39.2142868,39.43428421,23138500,0,0,0,6,0,6,0
20130828,39.80857086,40.7142868,39.48571396,40.47999954,19355700,6,6,8,6,8,9,9
20130829,40.57571411,41.4614296,40.54857254,41.12142944,19059600,8,4,8,4,5,8,5
20130830,41.17856979,41.26142883,40.42142868,40.55857086,15149400,0,5,0,3,2,4,0
20130903,41.06142807,41.52999878,40.65000153,41.2857132,19969600,0,6,3,4,3,5,5
20130904,41.26285553,41.86571503,40.99856949,41.77571487,19701500,8,4,8,4,5,8,5
20130905,42.40000153,42.70428467,42.06000137,42.15856934,19072200,0,6,0,4,4,4,4
20130906,42.33285522,42.3585701,41.45714188,41.64857101,17698800,0,0,4,4,2,6,0
20130909,41.82143021,42.18571472,41.46857071,42.02142715,13840400,6,5,6,6,9,5,5
20130910,42.5,44.74856949,42.40142822,44.72285843,36682100,0,14,8,6,8,8,0
20130911,44.81999969,44.88285828,43.41143036,44.04285812,29940400,7,8,3,6,6,0,0
20130912,43.11999893,43.77857208,42.62142944,43.05857086,21947800,5,3,4,4,0,8,0
20130913,43.1428566,43.7142868,42.74142838,43.66428757,15029700,8,8,8,4,12,4,12
20130916,44.2857132,44.31285858,43.11428452,43.16571426,14055300,5,5,3,4,3,6,0
20130917,43.14857101,43.3228569,42.52857208,42.79285812,18200700,0,6,4,4,0,5,5
20130918,42.70857239,43.95428467,42.58856964,43.84571457,13739600,10,12,10,0,12,12,4
20130919,44.05285645,44.1071434,43.43000031,43.6428566,17449600,8,8,0,6,6,4,0
20130920,43.69142914,45.12714386,43.65999985,44.83285522,30791600,0,4,3,8,0,9,6
20130923,45.77000046,45.77000046,42.7885704,43.14857101,32030600,3,3,10,0,8,8,0
20130924,43.04285812,44.20000076,42.90714264,43.7842865,18780300,6,5,6,5,4,6,6
20130925,44.02857208,44.40000153,43.43714142,43.87714386,14639100,0,8,4,0,4,6,4
20130926,44.00571442,44.9271431,43.92856979,44.78714371,12460700,8,8,0,6,6,6,6
20130927,44.39428711,44.7885704,44.24285889,44.62857056,8299200,0,0,5,0,2,3,0
20130930,43.95999908,44.59285736,43.59999847,44.17285538,12528600,3,5,3,4,3,8,0
20131001,44.96714401,46.38571548,44.8571434,46.37428665,29693300,0,9,5,3,8,6,3
20131002,46.01285553,47.65714264,45.94571304,47.24714279,30583700,9,8,4,12,9,4,8
20131003,47.28714371,47.7857132,45.43571472,45.95999908,24613400,0,3,4,5,0,6,0
20131004,46.24000168,46.90000153,45.50571442,46.75143051,16814000,6,6,5,6,9,5,5
20131007,46.29142761,46.70999908,45.45000076,45.45142746,14634900,2,2,6,4,2,4,0
20131008,45.61285782,45.93143082,42.79571533,43.18857193,28678300,0,3,2,2,2,3,0
20131009,42.88999939,42.93999863,40.40000153,41.20428467,41948900,0,4,2,4,6,2,2
20131010,43,43.91857147,42.34285736,43.4271431,30695000,6,6,12,6,6,6,6
20131011,43.47285843,43.94428635,42.87571335,42.97857285,19200300,0,12,0,10,10,0,8
20131014,44.37285614,46.46714401,43.7142868,46.33714294,45659600,15,0,18,20,0,15,8
20131015,46.44285583,46.76142883,45.61999893,45.95571518,26848500,0,6,12,0,10,8,0
20131016,45.72999954,46.5,45.4657135,46.12571335,18843300,6,5,6,5,4,6,6
20131017,46.02999878,47.17285538,45.66571426,47.15714264,19272400,0,12,6,0,6,6,6
20131018,47.7142868,48.06856918,46.79999924,47.6428566,25454800,8,8,0,6,6,6,6
