Open,High,Low,Close,Adj Close,Volume,Date,CI1,CI2,CI3,CI4,CI5,CI6,CI7
9.465714455,9.5185709,9.390000343,9.395357132,7.99656105,438575200,9/9/2010,0,6,3,0,3,6,0
9.399642944,9.446429253,9.33571434,9.407500267,8.00689888,387542400,9/10/2010,4,4,6,4,6,4,4
9.493571281,9.581428528,9.491429329,9.537142754,8.117241859,388780000,9/13/2010,0,12,6,0,6,6,6
9.507499695,9.613213539,9.48285675,9.573571205,8.148241043,408150400,9/14/2010,7,7,0,4,4,6,0
9.577500343,9.656429291,9.565713882,9.650713921,8.213902473,429368800,9/15/2010,0,4,6,6,0,8,8
9.651429176,9.881071091,9.625,9.87749958,8.406921387,652103200,9/16/2010,8,15,18,0,18,15,8
9.917499542,9.927143097,9.77428627,9.834643364,8.37044239,634477200,9/17/2010,8,8,0,6,6,4,0
9.859999657,10.13500023,9.85178566,10.1153574,8.609365463,658677600,9/20/2010,0,4,6,6,0,8,8
10.13785744,10.26249981,10.09964275,10.1346426,8.625778198,668074400,9/21/2010,3,8,8,0,7,12,0
10.09678555,10.28499985,10.08607101,10.27678585,8.746757507,585289600,9/22/2010,4,4,6,4,6,4,4
10.22607136,10.45571423,10.21428585,10.31857109,8.782322884,786116800,9/23/2010,0,6,3,0,3,6,0
10.43214321,10.48321438,10.37678623,10.43999958,8.885678291,649488000,9/24/2010,6,6,4,5,6,5,6
10.4992857,10.52607059,10.39321423,10.39857101,8.850413322,482834800,9/27/2010,0,3,4,0,4,3,0
10.42035675,10.42035675,9.821429253,10.24499989,8.719708443,1035042400,9/28/2010,4,4,3,4,3,6,0
10.258214,10.35035706,10.21428585,10.26321411,8.735209465,469644000,9/29/2010,0,4,2,4,6,2,2
10.32142925,10.3571434,10.0446434,10.13392925,8.625171661,673391600,9/30/2010,2,2,6,4,2,4,0
10.21964264,10.23499966,10.04821396,10.09000015,8.587785721,448142800,10/1/2010,0,4,4,3,3,3,3
10.05714321,10.10357094,9.92035675,9.951429367,8.469842911,435302000,10/4/2010,0,6,3,0,3,6,0
10.07142925,10.33749962,10.06499958,10.31928635,8.782934189,501967200,10/5/2010,12,9,4,8,9,8,4
10.34249973,10.42821407,10.18785667,10.32821369,8.790533066,670868800,10/6/2010,0,3,2,0,5,0,0
10.36928558,10.3742857,10.24678612,10.32928562,8.791441917,408399600,10/7/2010,4,4,3,5,0,8,0
10.41821384,10.5178566,10.3571434,10.50249958,8.938872337,658403200,10/8/2010,5,8,5,4,8,4,8
10.52642918,10.61571407,10.52142906,10.54857063,8.978081703,427753200,10/11/2010,5,5,3,4,3,6,0
10.55035686,10.69642925,10.44607067,10.66214275,9.074746132,558544000,10/12/2010,0,6,6,6,0,6,6
10.72142887,10.78428555,10.70714283,10.71928596,9.123379707,630092400,10/13/2010,4,8,6,0,5,9,0
10.77464294,10.80249977,10.72857094,10.79678631,9.189343452,435296400,10/14/2010,4,4,6,4,6,4,4
10.97999954,11.25,10.88964272,11.24071407,9.567177773,922194000,10/15/2010,0,12,8,0,10,10,0
11.37392902,11.3928566,11.22464275,11.3571434,9.666273117,1093010800,10/18/2010,8,8,0,8,8,0,0
10.83571434,11.2060709,10.71500015,11.05321407,9.407594681,1232784000,10/19/2010,5,3,4,4,0,8,0
11.03571415,11.22321415,10.95964336,11.09035683,9.439204216,721624400,10/20/2010,4,4,4,6,12,3,3
11.15571404,11.24071407,10.95714283,11.054286,9.408504486,551460000,10/21/2010,3,3,8,6,3,4,3
11.03821373,11.0728569,10.93928623,10.98107147,9.34619236,372778000,10/22/2010,0,6,0,4,4,4,4
11.03892899,11.12857056,11.01571369,11.02999973,9.387836456,392462000,10/25/2010,0,0,8,6,3,8,3
10.95964336,11.06214333,10.91607094,11.00178623,9.363822937,392929600,10/26/2010,0,10,9,6,10,4,9
10.98750019,11.06785679,10.91428566,10.99392891,9.357133865,399002800,10/27/2010,0,6,6,6,0,6,6
10.99821377,11,10.74642944,10.90142918,9.278406143,551051200,10/28/2010,4,8,6,0,5,9,0
10.8653574,10.92428589,10.74535656,10.7492857,9.148914337,430511200,10/29/2010,3,3,3,3,4,4,0
10.79357147,10.91428566,10.79285717,10.86357117,9.246185303,423889200,11/1/2010,0,8,4,3,6,3,6
10.96428585,11.07821369,10.96428585,11.04857063,9.403639793,433930000,11/2/2010,16,16,8,12,16,12,0
11.12035656,11.17428589,11.01892853,11.17142868,9.508208275,508348400,11/3/2010,18,8,8,18,15,0,15
11.26607132,11.43500042,11.25107098,11.366786,9.674479485,642488000,11/4/2010,12,0,21,21,0,18,12
11.35678577,11.41321373,11.3125,11.32607079,9.639825821,361253200,11/5/2010,0,6,12,0,10,8,0
11.32857132,11.42035675,11.31285667,11.37928581,9.685119629,281758400,11/8/2010,6,5,6,5,4,6,6
11.46607113,11.47500038,11.2321434,11.28857136,9.607909203,383544000,11/9/2010,0,6,3,0,3,6,0
11.30857086,11.3846426,11.19821358,11.35821438,9.66718483,384227200,11/10/2010,4,4,6,4,6,4,4
11.25,11.37142944,11.22321415,11.30892944,9.625235558,361284000,11/11/2010,0,6,3,0,3,6,0
11.28571415,11.30357075,10.84392929,11.00107098,9.363211632,795846800,11/12/2010,3,3,3,3,4,4,0
11.01642895,11.09071445,10.9382143,10.96571445,9.3331213,403606000,11/15/2010,0,4,2,4,6,2,2
10.91857147,10.98571396,10.68999958,10.77107143,9.167458534,657650000,11/16/2010,2,2,6,4,2,4,0
10.75714302,10.85678577,10.63428593,10.7321434,9.134325027,479449600,11/17/2010,0,6,3,4,3,4,4
10.89999962,11.05964279,10.88178635,11.01535702,9.375372887,494491200,11/18/2010,0,8,10,0,12,6,0
10.99892902,11.01428604,10.90142918,10.95464325,9.32369709,384843200,11/19/2010,6,10,0,10,6,0,0
10.95285702,11.19142914,10.92392921,11.19142914,9.525230408,393075200,11/22/2010,10,4,12,12,0,10,12
11.08749962,11.13392925,10.94857121,11.02607059,9.38449192,519447600,11/23/2010,3,8,8,0,7,12,0
11.1428566,11.26428604,11.13392925,11.24285698,9.569003105,413725200,11/24/2010,4,4,6,4,6,4,4
11.20499992,11.34642887,11.17642879,11.25,9.575079918,237585600,11/26/2010,0,6,3,0,3,6,0
11.2678566,11.33857059,11.12071419,11.31678581,9.631922722,445785200,11/29/2010,6,6,4,5,6,5,6
11.1978569,11.22714329,11.10249996,11.11250019,9.458054543,501858000,11/30/2010,0,3,4,0,4,3,0
11.2596426,11.34821415,11.25,11.30000019,9.617636681,461750800,12/1/2010,6,5,6,5,4,6,6
